player,total_distance_m,max_velocity_kmh,acc_b1_3_total_efforts,decel_b1_3_total_efforts,efforts_over_19_8_kmh,distance_over_19_8_kmh,efforts_over_25_2_kmh,velocity_b3_plus_total_efforts
Tiago Silva,9234.7,31.4,58,54,24,398.6,12,78
Diogo Martins,8967.2,30.8,62,57,22,367.9,11,74
Carlos Oliveira,9456.8,32.1,65,61,26,425.3,14,82
Tiago Ribeiro,8834.5,30.2,55,51,21,342.7,10,71
Miguel Pinto,9123.9,31.7,59,56,23,389.4,12,76
Bruno Santos,8756.3,29.9,53,49,19,318.5,9,68
Francisco Costa,9089.4,31.2,57,53,22,375.8,11,75
João Pereira,8923.7,30.6,56,52,20,356.2,10,72
André Ferreira,9267.1,31.8,61,58,25,412.7,13,79
Pedro Almeida,8845.6,30.4,54,50,21,348.9,10,70
Rafael Sousa,9034.2,31.0,58,54,23,381.6,12,77
Gonçalo Lima,8798.9,30.1,52,48,19,325.4,9,69
Nuno Rodrigues,9178.5,31.5,60,56,24,395.2,12,78
Luís Carvalho,8712.8,29.7,51,47,18,312.8,8,66
Manuel Dias,8956.4,30.7,55,51,20,349.7,10,73
José Mendes,9145.3,31.3,59,55,23,387.1,12,76
Paulo Gomes,8823.7,30.3,53,49,19,331.6,9,70
Rúben Lopes,9201.6,31.6,61,57,25,408.3,13,80
Daniel Neves,8889.2,30.5,56,52,21,358.9,10,74
Marco Teixeira,9067.8,31.1,58,54,22,378.4,11,75
