player,total_distance_m,max_velocity_kmh,acc_b1_3_total_efforts,decel_b1_3_total_efforts,efforts_over_19_8_kmh,distance_over_19_8_kmh,efforts_over_25_2_kmh,velocity_b3_plus_total_efforts
André Lopes,5118.4,23.6,28,17,7,127.3,4,27
Bruno Martins,5083.1,24.6,17,17,7,77.3,3,22
Bruno Ribeiro,5062.4,24.6,16,18,10,159.9,2,16
Carlos Oliveira,4521.0,23.3,28,26,8,182.8,1,35
Diogo Martins,5456.7,22.1,28,15,5,184.4,1,16
Diogo Silva,4721.8,23.9,17,21,3,169.1,4,23
Gonçalo Jesus,4803.3,24.1,16,18,3,170.7,1,22
Gonçalo Pereira,5095.1,22.5,19,17,3,174.2,4,33
João Ferreira,5340.8,23.1,31,15,9,78.6,4,16
João Ribeiro,5198.3,23.1,25,24,10,70.4,3,26
Luís Martins,4583.1,24.5,22,28,11,182.4,3,23
Luís Santos,5128.1,24.2,22,29,10,126.1,3,25
Marco Pinto,5057.5,22.4,31,29,11,107.6,2,23
Miguel Gomes,4847.9,22.4,28,18,8,96.5,1,27
Miguel Pinto,5441.9,24.2,20,19,10,109.8,1,31
Rafael Rodrigues,4736.7,23.2,19,14,7,62.4,4,25
Ricardo Carvalho,3222.1,19.0,10,9,5,153.5,1,14
Tiago Gonçalves,4776.6,22.4,24,16,4,110.4,4,16
Tiago Ribeiro,5386.0,24.7,26,28,10,191.5,4,24
Tiago Silva,5134.5,23.0,16,22,4,73.2,3,32
