player,total_distance_m,max_velocity_kmh,acc_b1_3_total_efforts,decel_b1_3_total_efforts,efforts_over_19_8_kmh,distance_over_19_8_kmh,efforts_over_25_2_kmh,velocity_b3_plus_total_efforts
André Lopes,6743.4,26.2,34,17,10,182.5,1,42
Bruno Martins,7102.6,26.6,20,35,14,86.5,2,45
Bruno Ribeiro,7309.8,27.7,29,24,13,121.6,3,43
Carlos Oliveira,7318.8,26.7,29,26,15,147.2,4,30
Diogo Martins,6689.7,27.9,32,28,11,266.1,4,45
Diogo Silva,6998.2,27.2,26,27,12,269.9,1,45
Gonçalo Jesus,6527.2,26.5,26,31,7,141.7,3,44
Gonçalo Pereira,7008.5,27.3,36,20,14,225.0,1,28
João Ferreira,7085.4,27.6,34,39,13,237.4,1,30
João Ribeiro,6715.4,26.8,42,22,11,232.5,3,39
Luís Martins,6584.8,26.9,38,29,13,107.6,5,30
Luís Santos,6764.1,27.5,22,29,13,102.9,5,42
Marco Pinto,6910.5,26.0,41,23,4,192.0,1,29
Miguel Gomes,6573.6,26.9,27,25,15,139.7,4,38
Miguel Pinto,7245.4,26.7,20,24,15,188.1,1,38
Rafael Rodrigues,7465.6,26.2,35,23,7,207.0,4,24
Ricardo Carvalho,5104.7,22.2,25,15,7,259.0,2,22
Tiago Gonçalves,7425.4,27.0,33,36,15,102.4,2,38
Tiago Ribeiro,6780.2,26.7,28,31,5,242.8,1,43
Tiago Silva,7465.1,27.9,30,22,4,243.7,3,23
