player,total_distance_m,max_velocity_kmh,acc_b1_3_total_efforts,decel_b1_3_total_efforts,efforts_over_19_8_kmh,distance_over_19_8_kmh,efforts_over_25_2_kmh,velocity_b3_plus_total_efforts
André Lopes,8191.5,28.2,24,28,12,96.0,1,53
Bruno Martins,8134.4,29.8,47,33,10,118.3,1,42
Bruno Ribeiro,7635.5,30.0,33,44,14,151.8,2,49
Carlos Oliveira,7663.4,29.0,43,35,8,281.8,6,40
Diogo Martins,7859.3,29.1,29,19,10,306.2,7,36
Diogo Silva,8309.4,29.3,35,21,6,134.9,1,31
Gonçalo Jesus,7920.5,28.0,34,34,8,269.9,6,32
Gonçalo Pereira,8190.3,29.5,26,41,11,314.1,5,50
João Ferreira,8135.9,28.4,29,37,8,176.0,3,33
João Ribeiro,7691.9,29.2,25,40,17,193.1,5,37
Luís Martins,7855.7,29.0,40,23,6,106.1,6,34
Luís Santos,8176.4,29.3,30,18,11,91.6,2,22
Marco Pinto,7512.5,29.6,45,30,15,97.4,6,23
Miguel Gomes,8201.6,29.9,23,26,6,307.0,6,42
Miguel Pinto,8472.0,29.8,46,33,9,228.8,6,32
Rafael Rodrigues,8172.4,28.5,39,40,15,285.3,3,31
Ricardo Carvalho,5385.8,23.0,19,21,4,202.6,1,25
Tiago Gonçalves,8109.2,28.6,35,28,17,169.2,6,43
Tiago Ribeiro,8049.2,28.4,36,21,14,207.0,5,25
Tiago Silva,7593.9,28.8,46,32,13,110.0,6,30
