player,total_distance_m,max_velocity_kmh,acc_b1_3_total_efforts,decel_b1_3_total_efforts,efforts_over_19_8_kmh,distance_over_19_8_kmh,efforts_over_25_2_kmh,velocity_b3_plus_total_efforts
André Lopes,5769.4,26.1,25,14,4,208.0,1,40
Bruno Martins,5837.0,26.2,22,16,5,240.6,3,36
Bruno Ribeiro,5881.3,26.1,23,18,4,132.1,4,40
Carlos Oliveira,5514.5,25.2,19,34,13,153.2,1,17
Diogo Martins,6435.0,25.5,36,16,7,224.5,1,25
Diogo Silva,6074.3,26.9,30,14,7,189.3,0,39
Gonçalo Jesus,6408.8,26.7,35,29,12,241.0,1,23
Gonçalo Pereira,5554.1,26.4,28,24,10,84.1,3,41
João Ferreira,5741.6,25.7,36,30,11,241.0,2,35
João Ribeiro,6082.9,25.9,30,17,4,163.6,2,29
Luís Martins,5900.2,26.0,38,15,10,73.4,1,39
Luís Santos,6295.5,25.8,38,28,10,157.1,2,25
Marco Pinto,6135.6,26.3,30,30,6,188.0,1,29
Miguel Gomes,5692.6,25.3,29,21,12,149.0,3,20
Miguel Pinto,5961.2,26.6,32,15,12,103.8,2,40
Rafael Rodrigues,5596.2,26.9,20,18,5,78.5,2,24
Ricardo Carvalho,4415.4,21.3,10,13,7,176.0,2,19
Tiago Gonçalves,6145.2,25.4,33,29,7,90.7,4,18
Tiago Ribeiro,5521.3,25.7,22,32,10,102.9,1,21
Tiago Silva,5728.7,25.2,22,23,5,172.5,4,38
