player,total_distance_m,max_velocity_kmh,acc_b1_3_total_efforts,decel_b1_3_total_efforts,efforts_over_19_8_kmh,distance_over_19_8_kmh,efforts_over_25_2_kmh,velocity_b3_plus_total_efforts
André Lopes,10227.2,31.2,46,41,10,275.6,8,35
Bruno Martins,10153.6,31.4,39,56,22,281.6,2,58
Bruno Ribeiro,9968.5,31.2,50,45,18,362.5,7,44
Carlos Oliveira,11417.6,30.3,57,55,6,379.8,7,65
Diogo Martins,10374.1,33.0,63,30,23,188.1,7,41
Diogo Silva,10930.3,30.7,46,25,22,394.9,9,34
Gonçalo Jesus,9635.3,30.1,31,44,7,265.6,8,43
Gonçalo Pereira,9694.1,32.4,42,29,23,336.0,1,61
João Ferreira,10839.1,30.6,43,42,6,198.4,4,38
João Ribeiro,9687.5,32.5,49,29,12,291.6,3,58
Luís Martins,9622.9,32.4,44,28,7,154.2,2,51
Luís Santos,9831.2,32.4,64,57,7,334.5,9,43
Marco Pinto,10370.3,32.9,30,58,17,244.2,5,58
Miguel Gomes,9710.4,30.9,65,52,20,142.2,7,54
Miguel Pinto,10342.4,32.5,65,51,19,323.4,6,59
Rafael Rodrigues,9728.4,30.1,37,49,11,215.3,2,58
Ricardo Carvalho,7576.1,24.6,28,14,7,241.9,1,28
Tiago Gonçalves,10129.4,30.8,33,24,19,138.8,3,59
Tiago Ribeiro,10522.5,31.6,60,52,8,374.6,5,59
Tiago Silva,9658.6,30.6,42,45,21,130.3,2,54
