player,total_distance_m,max_velocity_kmh,acc_b1_3_total_efforts,decel_b1_3_total_efforts,efforts_over_19_8_kmh,distance_over_19_8_kmh,efforts_over_25_2_kmh,velocity_b3_plus_total_efforts
CARDOSO,7156.8,26.4,58,54,18,387.2,6,89
JOÃO FERREIRA,7089.3,26.8,61,57,20,412.5,7,94
RICARDO,7234.7,27.3,65,61,22,434.8,8,97
MIGUEL,7067.1,26.1,57,53,17,365.4,5,87
BRUNO,7198.5,26.9,63,59,21,423.7,7,95
DIOGO,6987.4,25.8,55,51,15,341.2,4,84
FRANCISCO,7145.2,26.6,59,55,19,398.6,6,91
TIAGO,7098.7,26.3,58,54,18,376.3,5,88
ANDRÉ,7187.9,27.1,62,58,20,415.9,7,96
JOÃO SILVA,7056.4,26.0,56,52,16,358.7,5,86
PEDRO,7123.8,26.5,60,56,19,389.4,6,90
RAFAEL,7087.2,26.2,57,53,17,367.8,5,87
GONÇALO,7176.3,26.8,61,57,20,408.1,7,93
NUNO,7045.6,25.9,55,51,15,346.9,4,85
LUÍS,7209.1,27.2,64,60,22,441.3,8,98
CARLOS,6998.3,25.7,54,50,14,334.5,4,83
MANUEL,7078.9,26.1,56,52,16,362.1,5,86
JOSÉ,7156.4,26.4,58,54,18,385.7,6,89
PAULO,7034.2,25.6,53,49,13,327.8,3,82
RÚBEN,7189.7,26.9,62,58,21,419.2,7,95
DANIEL,7067.8,26.0,55,51,15,349.3,4,84
MARCO,7145.6,26.5,59,55,18,392.1,6,90
VÍTOR,6989.1,25.5,52,48,12,321.4,3,81
FÁBIO,7178.4,26.8,61,57,20,411.6,7,94
SÉRGIO,7056.7,25.9,54,50,14,342.8,4,83
HUGO,7109.3,26.3,57,53,17,371.5,5,87
ALEX,7087.5,26.1,56,52,16,365.2,5,86
MÁRIO,6978.6,25.4,51,47,11,315.7,3,80
