player,total_distance_m,max_velocity_kmh,acc_b1_3_total_efforts,decel_b1_3_total_efforts,efforts_over_19_8_kmh,distance_over_19_8_kmh,efforts_over_25_2_kmh,velocity_b3_plus_total_efforts
CARDOSO,4823.4,26.8,38,35,9,178.3,2,52
JOÃO FERREIRA,4756.7,27.2,41,38,11,203.7,3,57
RICARDO,4901.5,27.7,44,41,13,225.9,4,60
MIGUEL,4734.2,26.5,37,34,8,155.8,1,50
BRUNO,4865.8,27.3,42,39,12,214.2,3,58
DIOGO,4654.1,26.2,35,32,7,131.4,1,47
FRANCISCO,4812.3,26.9,39,36,10,189.6,2,53
TIAGO,4765.6,26.6,38,35,9,167.1,2,51
ANDRÉ,4854.7,27.4,41,38,11,205.8,3,59
JOÃO SILVA,4723.9,26.4,36,33,8,148.2,1,49
PEDRO,4790.2,26.7,39,36,10,181.5,2,54
RAFAEL,4754.8,26.5,37,34,8,159.7,1,50
GONÇALO,4843.1,27.1,40,37,11,197.4,3,56
NUNO,4712.6,26.3,35,32,7,141.9,1,48
LUÍS,4876.9,27.5,43,40,12,217.8,4,61
CARLOS,4665.2,26.1,34,31,6,124.7,1,46
MANUEL,4746.4,26.4,36,33,8,152.6,1,49
JOSÉ,4823.1,26.8,38,35,9,175.9,2,52
PAULO,4701.3,26.0,33,30,6,118.3,0,45
RÚBEN,4856.2,27.3,41,38,11,208.1,3,58
DANIEL,4735.7,26.3,35,32,7,145.5,1,48
MARCO,4813.8,26.7,38,35,9,184.2,2,53
VÍTOR,4656.4,25.9,32,29,5,112.6,0,44
FÁBIO,4845.6,27.1,40,37,10,199.7,3,56
SÉRGIO,4724.3,26.2,34,31,6,138.1,1,47
HUGO,4776.9,26.5,37,34,8,162.8,1,50
ALEX,4755.2,26.4,36,33,8,156.3,1,49
MÁRIO,4645.7,25.8,31,28,5,107.2,0,43
