player,total_distance_m,max_velocity_kmh,acc_b1_3_total_efforts,decel_b1_3_total_efforts,efforts_over_19_8_kmh,distance_over_19_8_kmh,efforts_over_25_2_kmh,velocity_b3_plus_total_efforts
CARDOSO,6245.3,24.8,45,42,12,245.7,3,67
JOÃO FERREIRA,6180.7,25.2,48,45,14,267.3,4,71
RICARDO,6320.8,26.1,52,49,16,289.4,5,74
MIGUEL,6156.4,24.5,44,41,11,223.8,2,65
BRUNO,6298.2,25.7,50,47,15,278.1,4,72
DIOGO,6087.9,24.2,43,40,10,201.5,2,63
FRANCISCO,6234.5,25.4,47,44,13,256.2,3,69
TIAGO,6189.3,25.0,46,43,12,234.9,3,68
ANDRÉ,6267.1,25.8,49,46,14,271.6,4,73
JOÃO SILVA,6145.8,24.7,45,42,11,218.3,2,66
PEDRO,6203.4,25.3,48,45,13,249.7,3,70
RAFAEL,6178.6,24.9,46,43,12,241.2,3,67
GONÇALO,6256.7,25.6,50,47,15,282.4,4,72
NUNO,6134.2,24.4,44,41,10,207.8,2,64
LUÍS,6289.5,25.9,51,48,16,294.1,5,75
CARLOS,6098.7,24.3,43,40,9,195.6,1,62
MANUEL,6167.3,24.8,45,42,11,225.4,2,65
JOSÉ,6245.8,25.1,47,44,13,258.7,3,69
PAULO,6123.9,24.1,42,39,9,189.2,1,61
RÚBEN,6278.4,25.7,49,46,14,276.8,4,73
DANIEL,6156.1,24.6,44,41,10,214.5,2,64
MARCO,6234.7,25.4,47,44,12,252.3,3,68
VÍTOR,6089.5,24.0,41,38,8,183.7,1,60
FÁBIO,6267.8,25.8,48,45,14,269.1,4,72
SÉRGIO,6145.3,24.5,43,40,10,208.9,2,63
HUGO,6198.6,25.0,46,43,12,238.6,3,67
ALEX,6176.2,24.7,45,42,11,221.8,2,65
MÁRIO,6089.1,23.9,40,37,8,178.4,1,59
