player,total_distance_m,max_velocity_kmh,acc_b1_3_total_efforts,decel_b1_3_total_efforts,efforts_over_19_8_kmh,distance_over_19_8_kmh,efforts_over_25_2_kmh,velocity_b3_plus_total_efforts
CARDOSO,10834.7,32.4,105,101,42,856.3,18,167
JOÃO FERREIRA,10767.2,32.8,108,104,44,881.7,19,172
RICARDO,10912.8,33.3,112,108,46,904.1,20,175
MIGUEL,10745.6,32.1,104,100,41,833.2,17,165
BRUNO,10876.3,32.9,110,106,45,892.4,19,173
DIOGO,10665.7,31.8,102,98,39,809.8,16,162
FRANCISCO,10823.4,32.5,106,102,43,867.1,18,168
TIAGO,10776.9,32.2,105,101,42,844.7,17,166
ANDRÉ,10865.1,33.0,109,105,44,883.2,19,174
JOÃO SILVA,10734.8,31.9,103,99,40,822.4,16,163
PEDRO,10801.7,32.3,107,103,43,858.8,18,169
RAFAEL,10765.3,32.0,104,100,41,837.6,17,164
GONÇALO,10854.6,32.7,108,104,44,878.9,19,171
NUNO,10723.4,31.7,102,98,39,815.2,16,161
LUÍS,10887.9,33.1,111,107,46,910.8,20,176
CARLOS,10676.8,31.6,101,97,38,802.3,15,160
MANUEL,10757.2,31.9,103,99,40,829.7,16,163
JOSÉ,10834.1,32.4,105,101,42,853.4,17,167
PAULO,10712.5,31.5,100,96,37,794.6,15,159
RÚBEN,10867.4,32.9,109,105,45,885.1,19,173
DANIEL,10746.1,31.8,102,98,39,818.9,16,162
MARCO,10823.8,32.3,106,102,42,861.3,18,168
VÍTOR,10667.3,31.4,99,95,36,787.2,14,158
FÁBIO,10856.7,32.7,108,104,44,880.6,19,172
SÉRGIO,10735.2,31.7,101,97,38,811.1,15,161
HUGO,10787.6,32.1,104,100,41,840.8,17,165
ALEX,10765.8,31.9,103,99,40,825.3,16,163
MÁRIO,10656.4,31.3,98,94,35,780.7,14,157
