player,total_distance_m,max_velocity_kmh,acc_b1_3_total_efforts,decel_b1_3_total_efforts,efforts_over_19_8_kmh,distance_over_19_8_kmh,efforts_over_25_2_kmh,velocity_b3_plus_total_efforts
CARDOSO,3245.7,22.1,28,25,5,89.3,1,42
JOÃO FERREIRA,3189.2,22.4,31,28,6,102.7,1,45
RICARDO,3298.4,22.8,34,31,7,118.2,2,48
MIGUEL,3167.8,21.9,27,24,4,76.8,0,40
BRUNO,3276.1,22.6,32,29,6,105.4,1,46
DIOGO,3098.5,21.6,25,22,3,62.1,0,38
FRANCISCO,3234.9,22.2,29,26,5,91.7,1,43
TIAGO,3198.6,21.8,28,25,4,83.5,0,41
ANDRÉ,3265.3,22.5,31,28,6,98.9,1,47
JOÃO SILVA,3156.7,21.7,26,23,4,78.2,0,39
PEDRO,3212.4,22.0,30,27,5,87.6,1,44
RAFAEL,3187.9,21.9,27,24,4,81.3,0,40
GONÇALO,3254.8,22.3,30,27,5,94.1,1,45
NUNO,3145.2,21.5,25,22,3,68.4,0,37
LUÍS,3287.6,22.7,33,30,7,112.8,2,49
CARLOS,3109.1,21.4,24,21,3,59.7,0,36
MANUEL,3178.4,21.8,26,23,4,75.9,0,39
JOSÉ,3245.3,22.1,28,25,5,88.1,1,42
PAULO,3134.7,21.3,23,20,2,54.3,0,35
RÚBEN,3267.9,22.5,31,28,6,101.2,1,46
DANIEL,3168.5,21.7,25,22,3,71.6,0,38
MARCO,3235.2,22.0,29,26,5,90.4,1,43
VÍTOR,3100.8,21.2,22,19,2,51.8,0,34
FÁBIO,3256.1,22.3,30,27,5,95.7,1,45
SÉRGIO,3157.9,21.6,24,21,3,65.2,0,37
HUGO,3189.7,21.8,27,24,4,79.8,0,40
ALEX,3188.3,21.7,26,23,4,77.5,0,39
MÁRIO,3089.4,21.1,21,18,2,48.9,0,33
