player,total_distance_m,max_velocity_kmh,acc_b1_3_total_efforts,decel_b1_3_total_efforts,efforts_over_19_8_kmh,distance_over_19_8_kmh,efforts_over_25_2_kmh,velocity_b3_plus_total_efforts
CARDOSO,9456.7,30.2,89,85,34,687.4,14,145
JOÃO FERREIRA,9389.1,30.6,92,88,36,713.8,15,150
RICARDO,9534.2,31.1,96,92,38,736.1,16,153
MIGUEL,9367.8,29.9,88,84,33,664.2,13,143
BRUNO,9498.5,30.7,94,90,37,724.6,15,151
DIOGO,9287.9,29.6,86,82,31,640.9,12,140
FRANCISCO,9445.6,30.4,90,86,35,698.3,14,146
TIAGO,9398.2,30.1,89,85,34,676.8,13,144
ANDRÉ,9487.3,30.8,93,89,36,715.2,15,152
JOÃO SILVA,9356.1,29.8,87,83,32,653.5,12,141
PEDRO,9423.9,30.3,91,87,35,689.7,14,147
RAFAEL,9387.5,30.0,88,84,33,667.9,13,142
GONÇALO,9476.8,30.6,92,88,36,710.1,15,149
NUNO,9345.7,29.7,86,82,31,646.3,12,139
LUÍS,9510.1,30.9,95,91,38,742.5,16,154
CARLOS,9298.4,29.5,85,81,30,633.6,11,138
MANUEL,9379.3,29.9,87,83,32,660.8,12,141
JOSÉ,9456.3,30.2,89,85,34,684.1,13,145
PAULO,9334.8,29.4,84,80,29,626.2,11,137
RÚBEN,9489.6,30.7,93,89,37,717.3,15,151
DANIEL,9368.2,29.8,86,82,31,649.7,12,140
MARCO,9446.1,30.3,90,86,34,692.8,14,146
VÍTOR,9289.5,29.3,83,79,28,618.5,10,136
FÁBIO,9478.9,30.6,92,88,36,712.4,15,150
SÉRGIO,9357.4,29.7,85,81,30,642.1,11,139
HUGO,9409.8,30.1,88,84,33,671.2,13,143
ALEX,9388.1,29.9,87,83,32,656.4,12,141
MÁRIO,9278.6,29.2,82,78,27,611.8,10,135
