player,total_distance_m,max_velocity_kmh,acc_b1_3_total_efforts,decel_b1_3_total_efforts,efforts_over_19_8_kmh,distance_over_19_8_kmh,efforts_over_25_2_kmh,velocity_b3_plus_total_efforts
CARDOSO,8234.5,28.1,72,68,25,512.3,9,118
JOÃO FERREIRA,8167.2,28.5,75,71,27,538.7,10,123
RICARDO,8312.8,29.0,79,75,29,561.2,11,126
MIGUEL,8145.6,27.8,71,67,24,489.1,8,116
BRUNO,8276.3,28.6,77,73,28,549.4,10,124
DIOGO,8065.7,27.5,69,65,22,465.8,7,113
FRANCISCO,8223.4,28.3,73,69,26,523.1,9,119
TIAGO,8176.9,28.0,72,68,25,501.7,8,117
ANDRÉ,8265.1,28.7,76,72,27,540.2,10,125
JOÃO SILVA,8134.8,27.7,70,66,23,478.4,7,114
PEDRO,8201.7,28.2,74,70,26,514.8,9,120
RAFAEL,8165.3,27.9,71,67,24,492.6,8,115
GONÇALO,8254.6,28.5,75,71,27,535.9,10,122
NUNO,8123.4,27.6,69,65,22,471.2,7,112
LUÍS,8287.9,28.8,78,74,29,567.8,11,127
CARLOS,8076.8,27.4,68,64,21,458.3,6,111
MANUEL,8157.2,27.8,70,66,23,485.7,7,114
JOSÉ,8234.1,28.1,72,68,25,509.4,8,118
PAULO,8112.5,27.3,67,63,20,450.6,6,110
RÚBEN,8267.4,28.6,76,72,28,542.1,10,124
DANIEL,8146.1,27.7,69,65,22,474.9,7,113
MARCO,8223.8,28.2,73,69,25,517.3,9,119
VÍTOR,8067.3,27.2,66,62,19,443.2,5,109
FÁBIO,8256.7,28.5,75,71,27,537.6,10,123
SÉRGIO,8135.2,27.6,68,64,21,467.1,6,112
HUGO,8187.6,28.0,71,67,24,495.8,8,116
ALEX,8165.8,27.8,70,66,23,481.3,7,114
MÁRIO,8056.4,27.1,65,61,18,436.7,5,108
